순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
14,C001,쿠커 #1,2011-07-18,13:08,17:05,237,W003673,기타,23L00005,토마토케찹18kg(재),쿠킹실
5,C002,쿠커 #2,2011-07-18,9:36,10:08,32,W003541,펌프이상,23U01139,미스터피자블루베리시럽엠피(재),쿠킹실
24,D004,PET병,2011-07-21,7:28,7:37,9,W005711,대기,13D02169,1/2샐러드소스스트로베리,충전실
22,D004,PET병,2011-07-26,15:37,15:42,5,W005811,센서,13D02166,참깨흑임자드레싱,충전실
8,D005,3.2마요,2011-07-27,14:37,15:30,53,W005315,관리팀미입고(생산지연),16B06003,골드마요네즈3.2kg,충전실
2,C003,쿠커 #3,2011-07-28,9:58,10:40,42,W003321,관리팀미입고(생산지연),23L00006,자연드림 상큼한 토마토케찹595g(재),쿠킹실
13,D004,PET병,2011-08-01,19:31,19:40,9,W005811,센서,13D02166,참깨흑임자드레싱,충전실
13,D004,PET병,2011-08-09,3:15,3:21,6,W005811,센서,13D02168,아몬드호두드레싱,충전실
8,D005,3.2마요,2011-08-08,14:00,14:23,23,W005431,제품 넘침 청소,16B06008,이츠웰골드마요네즈3.2kg,충전실
12,D005,3.2마요,2011-08-08,19:20,19:26,6,W0056A3,은박교체,16B06003,골드마요네즈3.2kg,충전실
3,C003,쿠커 #3,2011-08-09,15:50,16:55,65,W003322,업체미입고(생산지연),23A00440,샘표갈비소스900g-광구(재),쿠킹실
8,C006,2동 쿠커 #3,2011-08-11,3:15,4:00,45,W0036B8,오리히로,26A01002,감자샐러드-P(재),쿠킹실
